"","X","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude"
"12",67,"Airport West","154 Halsey Rd",3,"t",840000,"PI","Nelson","3/09/2016",13.5,3042,3,2,1,303,225,2016,"Moonee Valley",-37.718,144.878
"13",72,"Airport West","1/80 Hawker St",3,"t",7e+05,"S","Brad","4/03/2017",13.5,3042,3,2,2,239,134,2009,"Moonee Valley",-37.7218,144.8837
"14",74,"Airport West","2/49 McIntosh St",2,"u",5e+05,"VB","Barry","4/03/2017",13.5,3042,2,1,1,168,86,2011,"Moonee Valley",-37.7215,144.8864
"15",75,"Airport West","4/9 West Ct",2,"t",420000,"VB","Barry","4/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"16",76,"Airport West","1/36 York St",3,"t",5e+05,"VB","Nelson","4/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"17",83,"Airport West","2/252 Parer Rd",2,"t",450000,"S","Barry","7/05/2016",13.5,3042,2,1,1,110,90,2015,"Moonee Valley",-37.7216,144.871
"18",84,"Airport West","3/19 Hart St",2,"u",515000,"S","Barry","7/11/2016",13.5,3042,2,1,1,141,73,2013,"Moonee Valley",-37.7298,144.8883
"19",86,"Airport West","2/62 Clydesdale Rd",2,"u",530000,"S","Nelson","10/09/2016",13.5,3042,2,1,1,120,94,2012,"Moonee Valley",-37.7234,144.8792
"20",88,"Airport West","3/24 Elstone Av",3,"u",6e+05,"VB","Nelson","10/09/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"21",90,"Airport West","37a North St",3,"t",760000,"PI","Barry","10/12/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"22",91,"Airport West","1/43 Cameron St",3,"u",752000,"S","Nelson","11/02/2017",13.5,3042,3,1,1,265,130,1993,"Moonee Valley",-37.7302,144.8855
"23",92,"Airport West","1/69 Bowes Av",3,"u",580000,"VB","Nelson","12/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"24",95,"Airport West","145a Victory Rd",2,"u",440000,"S","Barry","13/08/2016",13.5,3042,2,1,1,192,146.861538586252,1970,"Moonee Valley",-37.7177,144.8787
"25",99,"Airport West","2/40 Earl St",3,"t",7e+05,"PI","Brad","15/10/2016",13.5,3042,3,2,2,165,133,2009,"Moonee Valley",-37.727,144.887
"26",100,"Airport West","2/112 Parer Rd",2,"u",509500,"SP","Nelson","15/10/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"27",102,"Airport West","4/54 Hawker St",2,"u",462500,"S","Barry","16/07/2016",13.5,3042,2,1,1,164,146.861538586252,2003,"Moonee Valley",-37.7218,144.8863
"28",112,"Airport West","1/41 Hillside Gr",2,"t",460000,"VB","Nelson","18/06/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"29",113,"Airport West","3/7 South Rd",3,"t",540000,"SP","Nelson","18/06/2016",13.5,3042,2,2,1,161,101,2010,"Moonee Valley",-37.7231,144.8802
"30",114,"Airport West","37 North St",3,"t",825000,"SP","Barry","19/11/2016",13.5,3042,3,2,1,293,102,1960,"Moonee Valley",-37.72,144.8776
"31",116,"Airport West","7/42 York St",3,"u",445000,"S","Brad","22/05/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"32",118,"Airport West","2/13 North St",2,"u",510000,"S","Nelson","22/08/2016",13.5,3042,2,1,1,141,76,1970,"Moonee Valley",-37.7202,144.8797
"33",122,"Airport West","2/89 Marshall Rd",3,"u",1076960.67115367,"VB","Barry","25/02/2017",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"34",124,"Airport West","4/40 McNamara Av",2,"u",474000,"PI","Barry","26/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"35",125,"Airport West","5/93 McNamara Av",2,"t",490000,"SP","Frank","26/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"36",127,"Airport West","1/46 Bowes Av",3,"t",715000,"S","Barry","27/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"37",128,"Airport West","1/34 Elstone Av",3,"u",671500,"S","McDonald","27/11/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"38",131,"Airport West","22a Walters Av",3,"u",820000,"S","Nelson","28/08/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"39",132,"Airport West","1/145 Parer Rd",3,"u",650000,"PI","Nelson","30/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"40",133,"Airport West","3/35 Walters Av",3,"t",552000,"SP","Nelson","30/07/2016",13.5,3042,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"41",145,"Albert Park","4a Mills St",3,"t",1550000,"VB","Marshall","7/11/2016",3.3,3206,3,2,2,718,146.861538586252,1970,"Port Phillip",-37.8443,144.9598
"42",185,"Albert Park","3 Faussett St",2,"u",1810000,"PI","Marshall","27/06/2016",3.3,3206,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"43",199,"Alphington","1/9 Roemer Cr",2,"u",480000,"PI","Miles","7/05/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"44",201,"Alphington","2/21 Fulham Rd",3,"t",1304000,"SP","Holland","8/10/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"45",206,"Alphington","4/2 Miller St",2,"t",805000,"S","Miles","12/11/2016",6.4,3078,2,2,3,155,140,2004,"Darebin",-37.7804,145.0308
"46",208,"Alphington","4/5 Chandler Hwy",4,"t",1076960.67115367,"PN","Nelson","13/08/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"47",213,"Alphington","1/17 Rex Av",2,"u",590000,"PI","Nelson","17/09/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"48",214,"Alphington","3/98 Grange Rd",2,"u",820000,"S","Nelson","18/03/2017",6.4,3078,2,1,1,183,146.861538586252,1970,"Darebin",-37.7747,145.0264
"49",226,"Alphington","6/11 Broomfield Av",2,"u",530000,"S","Jellis","27/11/2016",6.4,3078,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"50",233,"Altona","1/123 Blyth St",2,"t",720000,"S","hockingstuart","4/02/2016",13.8,3018,2,1,2,292,125,2013,"Hobsons Bay",-37.8687,144.8197
"51",237,"Altona","1/170 Blyth St",3,"u",630000,"S","Barlow","6/08/2016",13.8,3018,2,1,2,311,94,1955,"Hobsons Bay",-37.8702,144.8143
"52",241,"Altona","1/4 Deavey Ct",2,"u",540000,"VB","hockingstuart","8/10/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"53",242,"Altona","1/136 Queen St",2,"u",580000,"S","Barlow","8/10/2016",13.8,3018,2,1,1,225,93,1988,"Hobsons Bay",-37.8696,144.827
"54",244,"Altona","1/265 Queen St",3,"t",8e+05,"SP","hockingstuart","8/10/2016",13.8,3018,3,2,2,280,146.861538586252,1997,"Hobsons Bay",-37.8734,144.8143
"55",245,"Altona","3/26 Grieve Pde",2,"u",510000,"S","Village","10/09/2016",13.8,3018,2,1,1,127,76,1990,"Hobsons Bay",-37.8686,144.8182
"56",248,"Altona","1/60 David St",3,"u",605000,"S","Jas","10/12/2016",13.8,3018,3,2,2,230,146.861538586252,1970,"Hobsons Bay",-37.8646,144.827
"57",249,"Altona","1A Merritt Ct",3,"t",705000,"S","hockingstuart","11/02/2017",13.8,3018,3,2,2,197,152,1970,"Hobsons Bay",-37.8579,144.8181
"58",254,"Altona","1/152 Blyth St",3,"t",743000,"SP","Gunn&Co","12/11/2016",13.8,3018,3,2,2,211,176,1970,"Hobsons Bay",-37.8698,144.816
"59",255,"Altona","2/6 Galvin St",3,"t",650000,"SP","Williams","12/11/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"60",257,"Altona","10 Wilga Av",3,"t",916500,"S","hockingstuart","13/08/2016",13.8,3018,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"61",259,"Altona","3/25 Rayner St",2,"u",620000,"SP","hockingstuart","14/05/2016",13.8,3018,2,1,1,168,146.861538586252,1970,"Hobsons Bay",-37.8676,144.8202
"62",260,"Altona","3/46 Sargood St",2,"u",447000,"S","Burnham","15/10/2016",13.8,3018,2,1,1,137,77,1990,"Hobsons Bay",-37.8655,144.8299
"63",263,"Altona","5/8 David St",2,"u",580000,"PI","Biggin","16/07/2016",13.8,3018,2,2,1,175,76,2013,"Hobsons Bay",-37.8687,144.8268
"64",268,"Altona","12 Spear Ct",3,"t",605100,"S","hockingstuart","22/05/2016",13.8,3018,3,2,0,265,146.861538586252,1970,"Hobsons Bay",-37.8583,144.8172
"65",270,"Altona","3/20 Mulga St",3,"u",577000,"S","Williams","23/04/2016",13.8,3018,3,2,1,205,113,2007,"Hobsons Bay",-37.8684,144.815
"66",273,"Altona","2/119 Railway St N",3,"u",605000,"S","Barlow","25/02/2017",13.8,3018,3,1,2,181,146.861538586252,1970,"Hobsons Bay",-37.8659,144.822
"67",297,"Altona North","58a Clematis Av",4,"t",780000,"S","hockingstuart","7/05/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"68",298,"Altona North","1/77 Hansen St",3,"u",720000,"S","hockingstuart","7/05/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"69",304,"Altona North","1/28 Irwin Av",3,"u",640000,"VB","hockingstuart","7/11/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"70",306,"Altona North","29a The Broadway",4,"t",1076960.67115367,"PN","Williams","7/11/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"71",309,"Altona North","11a Edward Av",3,"t",713500,"S","Greg","10/09/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"72",314,"Altona North","1/256 Mason St",2,"t",640000,"S","Williams","11/03/2017",11.1,3025,2,1,1,252,146.861538586252,1965,"Hobsons Bay",-37.8397,144.8602
"73",319,"Altona North","85a First Av",3,"t",670000,"VB","Greg","14/05/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"74",324,"Altona North","2/10 Cleghorn Av",3,"t",656000,"SP","Gunn&Co","15/10/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"75",331,"Altona North","1/36 Amaranth Av",3,"t",590000,"PI","RT","18/06/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"76",337,"Altona North","150A McIntosh Rd",2,"t",510000,"SP","Williams","19/11/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"77",356,"Altona North","268d Mason St",4,"t",847500,"S","RT","27/06/2016",11.1,3025,4,3,1,252,146.861538586252,1970,"Hobsons Bay",-37.8393,144.8568
"78",363,"Altona North","56a MacDonald Av",3,"t",640000,"PI","hockingstuart","28/08/2016",11.1,3025,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"79",367,"Armadale","1/42 Adelaide St",2,"u",550000,"VB","Noel","3/12/2016",6.3,3143,2,1,0,861,146.861538586252,1970,"Stonnington",-37.8539,145.0284
"80",369,"Armadale","4/769 High St",3,"t",1205000,"S","Jellis","3/12/2016",6.3,3143,3,2,2,101,105,2000,"Stonnington",-37.854,145.0135
"81",374,"Armadale","1/7 Railway Av",2,"u",585000,"SP","hockingstuart","3/12/2016",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"82",382,"Armadale","7/53 Wattletree Rd",1,"u",1076960.67115367,"SP","hockingstuart","4/03/2017",6.3,3143,1,1,0,881,146.861538586252,1970,"Stonnington",-37.8614,145.0222
"83",395,"Armadale","538a Orrong Rd",3,"t",1586000,"S","RT","7/05/2016",6.3,3143,2,2,2,246,146.861538586252,1970,"Stonnington",-37.8566,145.0116
"84",397,"Armadale","5/68 Rose St",3,"t",1076960.67115367,"S","Jellis","7/05/2016",6.3,3143,2,2,1,175,158,1970,"Stonnington",-37.8515,145.02
"85",415,"Armadale","7/53 Wattletree Rd",1,"u",390000,"S","Jellis","14/05/2016",6.3,3143,1,1,0,881,146.861538586252,1970,"Stonnington",-37.8614,145.0222
"86",424,"Armadale","11/26 Gladstone Av",2,"u",1076960.67115367,"S","hockingstuart","16/07/2016",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"87",434,"Armadale","5/8 Sutherland Rd",2,"u",1076960.67115367,"SP","hockingstuart","18/03/2017",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"88",435,"Armadale","5/92 Wattletree Rd",2,"u",1076960.67115367,"SN","Thomson","18/03/2017",6.3,3143,2,1,1,734,146.861538586252,2006,"Stonnington",-37.8623,145.0262
"89",444,"Armadale","5/31 Inverness Av",2,"u",1076960.67115367,"S","Jellis","19/11/2016",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"90",455,"Armadale","2/377 Dandenong Rd",2,"u",872000,"S","Jellis","25/02/2017",6.3,3143,2,1,1,1194,146.861538586252,1953,"Stonnington",-37.8604,145.0147
"91",465,"Armadale","10/507 Dandenong Rd",2,"u",690000,"VB","Jellis","27/11/2016",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"92",475,"Armadale","8/507 Dandenong Rd",2,"u",577000,"S","Jellis","28/08/2016",6.3,3143,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"93",507,"Ascot Vale","1/17 Epsom Rd",2,"u",685000,"S","Brad","7/11/2016",5.9,3032,2,1,2,228,90,1995,"Moonee Valley",-37.7718,144.9066
"94",514,"Ascot Vale","5/39 Sandown Rd",2,"t",490000,"PI","Alexkarbon","10/09/2016",5.9,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"95",540,"Ascot Vale","2/127 Epsom Rd",2,"u",610000,"SP","Brad","16/04/2016",5.9,3032,2,1,1,301,104,1995,"Moonee Valley",-37.7791,144.914
"96",549,"Ascot Vale","3/8 Walter St",2,"t",865000,"SP","Nelson","18/03/2017",5.9,3032,2,2,1,146,132,2015,"Moonee Valley",-37.7713,144.9038
"97",550,"Ascot Vale","2/225 Maribyrnong Rd",2,"t",705000,"S","Brad","18/06/2016",5.9,3032,2,2,1,113,146.861538586252,1998,"Moonee Valley",-37.7712,144.9088
"98",554,"Ascot Vale","1/20 Newsom St",3,"t",1050000,"S","Jellis","19/11/2016",5.9,3032,3,2,2,318,160,2013,"Moonee Valley",-37.7744,144.9035
"99",572,"Ascot Vale","6/37 Myrnong Cr",1,"u",296000,"S","Woodards","25/02/2017",5.9,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"100",583,"Ascot Vale","1 East St",3,"t",1e+06,"S","Nelson","27/11/2016",5.9,3032,3,2,2,200,144,2003,"Moonee Valley",-37.7766,144.9277
"101",592,"Ascot Vale","1/91 Epsom Rd",2,"u",545000,"S","Nelson","28/08/2016",5.9,3032,2,1,2,194,71,1900,"Moonee Valley",-37.7772,144.9118
"102",594,"Ascot Vale","4/33 Sandown Rd",3,"t",840000,"SP","Brad","28/08/2016",5.9,3032,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"103",601,"Ashburton","1/17 Ashburn Gr",3,"t",955000,"S","Buxton","3/12/2016",11,3147,3,2,2,203,146.861538586252,1970,"Boroondara",-37.8655,145.0807
"104",602,"Ashburton","3/39 Solway St",3,"t",2050000,"S","Fletchers","3/12/2016",11,3147,3,3,4,310,315,2014,"Boroondara",-37.874,145.0714
"105",604,"Ashburton","101/218 High St",2,"u",5e+05,"VB","Fletchers","4/03/2017",11,3147,2,1,1,710,146.861538586252,2010,"Boroondara",-37.8636,145.0794
"106",625,"Ashburton","1/24 Crete Av",3,"t",1340000,"S","Jellis","12/06/2016",11,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"107",639,"Ashburton","1/1 Ramu Gr",3,"t",1300000,"VB","Jellis","17/09/2016",11,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"108",646,"Ashburton","3/75 Victory Bvd",3,"t",968000,"S","Jellis","18/06/2016",11,3147,3,1,1,227,146.861538586252,1970,"Boroondara",-37.8709,145.0857
"109",647,"Ashburton","2/17 Ashburn Gr",3,"t",9e+05,"S","Jellis","19/11/2016",11,3147,3,2,2,153,110,1990,"Boroondara",-37.8655,145.0808
"110",665,"Ashburton","2/43 Warner Av",3,"t",1076960.67115367,"SP","Marshall","25/02/2017",11,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"111",668,"Ashburton","1/65 Ashburn Gr",4,"t",1250000,"VB","Noel","27/11/2016",11,3147,4,2,2,321,199,2007,"Boroondara",-37.8693,145.08
"112",672,"Ashburton","1/7 Y St",3,"t",1710000,"S","Marshall","27/11/2016",11,3147,3,2,2,295,146.861538586252,1990,"Boroondara",-37.8624,145.0798
"113",682,"Ashwood","12 Beechwood Tce",3,"t",1076960.67115367,"SN","Ray","3/12/2016",12.2,3147,3,2,2,375,146.861538586252,1970,"Monash",-37.8647,145.1016
"114",685,"Ashwood","31a Douglas St",3,"u",1045000,"S","Tim","4/03/2017",12.2,3147,3,2,2,467,146.861538586252,1970,"Monash",-37.8639,145.0968
"115",691,"Ashwood","1/7 Farmer St",2,"t",7e+05,"S","hockingstuart","7/11/2016",12.2,3147,2,1,2,367,110,1970,"Monash",-37.8662,145.109
"116",697,"Ashwood","2/25 May Park Av",2,"u",675000,"S","Buxton","10/12/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"117",703,"Ashwood","1/7 Murra Ct",2,"u",690000,"S","Ray","14/05/2016",12.2,3147,2,1,1,216,90,2003,"Monash",-37.8711,145.1017
"118",707,"Ashwood","2/21 Electra Av",2,"t",690000,"S","Buxton","16/04/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"119",708,"Ashwood","3/26 May Park Av",3,"t",1076960.67115367,"PI","Fletchers","16/04/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"120",715,"Ashwood","4/36 Queens Pde",2,"u",6e+05,"S","Noel","18/03/2017",12.2,3147,2,1,1,153,80,1970,"Monash",-37.8696,145.0962
"121",716,"Ashwood","2/11 Salisbury Rd",4,"t",980000,"PI","AIME","18/03/2017",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"122",717,"Ashwood","1/148 High Street Rd",3,"u",1076960.67115367,"PI","Ray","18/06/2016",12.2,3147,3,1,2,353,98,1950,"Monash",-37.8676,145.107
"123",719,"Ashwood","15b Rocklands Rd",4,"t",1230000,"S","Buxton","18/06/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"124",725,"Ashwood","2/6 Murra Ct",2,"u",7e+05,"S","hockingstuart","22/08/2016",12.2,3147,2,1,2,192,88,2007,"Monash",-37.8709,145.102
"125",726,"Ashwood","31a Shaw St",3,"t",880000,"PI","Fletchers","23/04/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"126",728,"Ashwood","1/27 Electra Av",2,"u",675000,"S","Buxton","24/09/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"127",729,"Ashwood","2/21 Lavidge Rd",4,"t",1076960.67115367,"PI","Buxton","24/09/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"128",736,"Ashwood","6a Sylvan Cr",4,"t",1400000,"S","Buxton","25/02/2017",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"129",737,"Ashwood","2/21 Lavidge Rd",4,"t",1076960.67115367,"PI","Fletchers","26/07/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"130",738,"Ashwood","2/2 Heather Av",3,"t",964000,"S","Tim","27/06/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"131",739,"Ashwood","1/72 Power Av",3,"u",1076960.67115367,"SN","Biggin","27/11/2016",12.2,3147,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"132",740,"Ashwood","1/16 Raymond St",3,"t",900500,"S","Jellis","27/11/2016",12.2,3147,3,2,2,256,134,2012,"Monash",-37.8655,145.1096
"133",746,"Ashwood","2/53 Salisbury Rd",3,"t",830000,"S","Barry","28/08/2016",12.2,3147,2,1,2,212,130,2012,"Monash",-37.8723,145.1089
"134",751,"Avondale Heights","157 Canning St",3,"t",851000,"S","Nelson","3/12/2016",10.5,3034,3,3,1,557,181,2017,"Moonee Valley",-37.77,144.8572
"135",767,"Avondale Heights","21 River Dr",3,"t",880000,"S","Moonee","8/10/2016",10.5,3034,3,2,2,339,146.861538586252,1970,"Moonee Valley",-37.7519,144.8534
"136",775,"Avondale Heights","2/6 Nelson Ct",2,"t",585000,"S","Barry","11/02/2017",10.5,3034,2,1,1,136,146.861538586252,2012,"Moonee Valley",-37.7623,144.8613
"137",781,"Avondale Heights","16a Arbor Tce",3,"u",665000,"S","Brad","16/04/2016",10.5,3034,3,2,1,289,146.861538586252,1970,"Moonee Valley",-37.7644,144.8657
"138",786,"Avondale Heights","2/10 Military Rd",2,"u",440000,"S","Nelson","18/03/2017",10.5,3034,2,1,1,263,146.861538586252,1999,"Moonee Valley",-37.7697,144.8657
"139",794,"Avondale Heights","23 River Dr",3,"t",730000,"VB","Barry","22/08/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"140",801,"Avondale Heights","1/5 South Tce",3,"u",5e+05,"S","Nelson","24/09/2016",10.5,3034,3,1,1,260,146.861538586252,1990,"Moonee Valley",-37.7507,144.8576
"141",802,"Avondale Heights","1/4 Weyburn Pl",2,"t",550000,"SP","Moonee","24/09/2016",10.5,3034,2,1,2,158,146.861538586252,1993,"Moonee Valley",-37.7592,144.8681
"142",810,"Avondale Heights","1/1 Amis Cr",3,"u",610000,"SP","Moonee","27/11/2016",10.5,3034,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"143",828,"Balaclava","1/34 Gourlay St",2,"t",1015000,"S","Gary","7/11/2016",6.6,3183,2,1,2,114,120,2000,"Port Phillip",-37.8723,144.9961
"144",830,"Balaclava","7/38 Brighton Rd",1,"u",438000,"S","Beller","14/05/2016",6.6,3183,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"145",847,"Balwyn","1/4 Glenluss St",3,"t",1076960.67115367,"S","Jellis","3/09/2016",9.7,3103,3,2,2,348,146.861538586252,1970,"Boroondara",-37.8053,145.0934
"146",850,"Balwyn","2/16 Westminster St",2,"t",1255000,"S","Noel","3/09/2016",9.7,3103,2,1,1,208,129,2000,"Boroondara",-37.8128,145.0975
"147",851,"Balwyn","2/74 Balwyn Rd",3,"u",1070000,"SA","Philip","3/12/2016",9.7,3103,3,2,2,206,112,1998,"Boroondara",-37.8161,145.0812
"148",858,"Balwyn","5/14 Parring Rd",2,"u",806000,"S","Noel","3/12/2016",9.7,3103,2,1,1,122,97,1977,"Boroondara",-37.8124,145.0916
"149",862,"Balwyn","120/188 Whitehorse Rd",1,"u",450000,"VB","MICM","4/02/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"150",863,"Balwyn","12/37 Banool Rd",3,"t",1400000,"PI","Ascend","4/03/2017",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"151",865,"Balwyn","3/30 Cremorne St",2,"u",812000,"S","Jellis","4/03/2017",9.7,3103,2,1,1,206,146.861538586252,1970,"Boroondara",-37.8092,145.0778
"152",872,"Balwyn","4/42 Talbot Av",2,"u",1076960.67115367,"S","Fletchers","4/06/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"153",878,"Balwyn","9/11 Parring Rd",2,"u",805000,"S","Noel","6/08/2016",9.7,3103,3,1,1,209,146.861538586252,1975,"Boroondara",-37.8125,145.0901
"154",888,"Balwyn","2/42 Talbot Av",2,"u",648000,"S","hockingstuart","7/11/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"155",894,"Balwyn","2/23 Northcote Av",3,"t",1500000,"PI","Noel","10/09/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"156",902,"Balwyn","11/22 Brenbeal St",2,"t",760000,"S","Christopher","10/12/2016",9.7,3103,2,1,1,121,100,1960,"Boroondara",-37.8112,145.0881
"157",903,"Balwyn","7/1 Conway Cr",2,"u",550000,"SP","Noel","10/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
"158",905,"Balwyn","3/3 Iramoo St",3,"t",1367000,"S","Jellis","10/12/2016",9.7,3103,3,2,2,219,164,2003,"Boroondara",-37.8125,145.0849
"159",906,"Balwyn","9/7 Kireep Rd",3,"t",788000,"S","Fletchers","10/12/2016",9.7,3103,3,1,1,469.181403665624,146.861538586252,1970,NA,NA,NA
